molecule_name,atom_count_total,final_energy_eV,homo_lumo_gap_eV,wall_time_s,relaxation_steps,max_force_eV_per_A,failure_category,final_energy_eV_pubchem,homo_lumo_gap_eV_pubchem,wall_time_s_pubchem,relaxation_steps_pubchem,max_force_eV_per_A_pubchem,final_energy_eV_diff,final_energy_eV_abs_diff,homo_lumo_gap_eV_diff,homo_lumo_gap_eV_abs_diff,wall_time_s_diff,wall_time_s_abs_diff,relaxation_steps_diff,relaxation_steps_abs_diff,max_force_eV_per_A_diff,max_force_eV_per_A_abs_diff,source_model
methanol,6,-30.587014,5.622396,3549.371,36,0.04194,NONE,-30.585357,5.626043,1261.215,13,0.048983,-0.0016570000000015739,0.0016570000000015739,-0.003646999999999956,0.003646999999999956,2288.156,2288.156,23,23,-0.007043000000000001,0.007043000000000001,gemini
glycine,10,-59.482443,4.80053,10419.892,53,0.04696,NONE,-59.485017,4.675455,4401.508,28,0.048872,0.0025739999999956353,0.0025739999999956353,0.12507499999999983,0.12507499999999983,6018.384,6018.384,25,25,-0.001911999999999997,0.001911999999999997,gemini
methyl_acetate,11,-63.305368,5.114438,4493.261,25,0.044929,NONE,-63.647055,5.3677,3100.616,19,0.04423,0.3416870000000003,0.3416870000000003,-0.2532620000000003,0.2532620000000003,1392.6450000000004,1392.6450000000004,6,6,0.0006989999999999982,0.0006989999999999982,gemini
nitrogen,2,-17.027444,8.291709,1138.728,18,0.048273,NONE,-17.027868,8.297115,1007.617,16,0.011747,0.00042400000000242244,0.00042400000000242244,-0.005405999999998912,0.005405999999998912,131.1110000000001,131.1110000000001,2,2,0.036526,0.036526,gemini
isopropanol,12,-63.836555,5.491346,9644.117,61,0.048033,NONE,-63.850761,5.554362,3039.475,19,0.048471,0.014206000000001495,0.014206000000001495,-0.06301600000000018,0.06301600000000018,6604.642,6604.642,42,42,-0.0004380000000000009,0.0004380000000000009,gemini
nitrous_oxide,3,-22.227451,6.721833,1971.309,21,0.04406,NONE,-22.22877,6.71916,1060.713,11,0.034024,0.0013190000000022906,0.0013190000000022906,0.0026730000000005916,0.0026730000000005916,910.596,910.596,10,10,0.010036000000000003,0.010036000000000003,gemini
morpholine,15,-84.104008,4.619977,6296.746,30,0.045157,NONE,-84.112704,4.643795,5715.669,31,0.03772,0.008696000000000481,0.008696000000000481,-0.02381800000000034,0.02381800000000034,581.0770000000002,581.0770000000002,-1,1,0.007437000000000006,0.007437000000000006,gemini
ethyl_acetate,14,-80.232528,5.312555,27970.06,125,0.025324,NONE,-80.263962,5.332237,2654.374,13,0.045089,0.0314340000000044,0.0314340000000044,-0.01968200000000042,0.01968200000000042,25315.686,25315.686,112,112,-0.019764999999999998,0.019764999999999998,gemini
ethyl_propionate,17,-94.323735,2.697565,22234.371,86,0.040744,NONE,-96.753835,5.365613,2847.009,12,0.049734,2.430099999999996,2.430099999999996,-2.6680479999999998,2.6680479999999998,19387.362,19387.362,74,74,-0.008989999999999998,0.008989999999999998,gemini
nonane,29,-155.727311,6.568964,9021.557,30,0.047564,NONE,-155.868074,6.571115,6782.574,23,0.047835,0.14076300000002107,0.14076300000002107,-0.00215099999999957,0.00215099999999957,2238.983000000001,2238.983000000001,7,7,-0.0002710000000000004,0.0002710000000000004,gemini
